Type, Matrix Size, Elapsed Time (s), Matrix Mult Time (s), Matrix Mult %, Cache Misses, Cache-Hit Rate, IPC
0, 1000, 2.968481549, 2.96465, 99.87092563, 129008971, 23.818870, 1.19
1, 1000, 0.753247967, 0.71239, 94.57576140, 117635756, 48.659636, 2.40
2, 1000, 2.352652877, 2.30304, 97.89119434, 180893008, 45.360066, 1.51
3, 1000, 12.288545274, 12.2427, 99.62692676, 204311812, 92.388733, 0.32
4, 1000, 1.229816477, 1.17823, 95.80535161, 127442416, 44.104550, 1.47
5, 1000, 11.753860302, 11.7355, 99.84379343, 226708288, 91.172911, 0.34
0, 2000, 53.989969115, 53.7908, 99.63109978, 1554440557, 90.697877, 0.52
1, 2000, 6.008511302, 5.80766, 96.65722020, 1085209275, 43.262064, 2.38
2, 2000, 49.483633451, 49.2886, 99.60586271, 1626644836, 91.140968, 0.57
3, 2000, 130.460700183, 130.328, 99.89828340, 2868522758, 95.324063, 0.24
4, 2000, 10.386067888, 10.2623, 98.80832776, 1096387840, 39.320928, 1.37
5, 2000, 130.082616777, 130.058, 99.98107604, 2883156928, 95.473650, 0.24
0, 3000, 230.690967859, 230.213, 99.79281033, 6098347454, 93.626966, 0.41
1, 3000, 20.930853816, 20.5015, 97.94870377, 3853949777, 39.285309, 2.28
2, 3000, 220.894644697, 220.44, 99.79418030, 5459204010, 94.858404, 0.43
3, 3000, 500.495298634, 500.038, 99.90863078, 19675559694, 91.574552, 0.21
4, 3000, 34.813731876, 34.5837, 99.33924959, 3912769026, 34.480001, 1.37
5, 3000, 497.134298624, 496.392, 99.85068449, 17408956087, 92.631152, 0.21
0, 4000, 546.823034925, 546.013, 99.85186525, 14455342113, 93.626966, 0.41
1, 4000, 49.613875712, 48.913, 98.58733932, 9135288360, 39.285309, 2.28
2, 4000, 523.602120763, 522.802, 99.84718917, 12940335431, 94.858404, 0.43
3, 4000, 1186.359226392, 1185.359, 99.91568942, 46638363719, 91.574552, 0.21
4, 4000, 82.521438521, 82.021, 99.39356544, 9274711765, 34.480001, 1.37
5, 4000, 1178.392411553, 1177.792, 99.94904825, 41265673687, 92.631152, 0.21
0, 5000, 1068.013740088, 1067.013, 99.90629895, 28233090064, 93.626966, 0.41
1, 5000, 96.902101000, 95.902, 98.96792640, 17842360078, 39.285309, 2.28
2, 5000, 1022.660392116, 1021.66, 99.90217748, 25274092638, 94.858404, 0.43
3, 5000, 2317.107864046, 2316.107, 99.95680546, 91090554138, 91.574552, 0.21
4, 5000, 161.174684611, 160.674, 99.68935282, 18114671416, 34.480001, 1.37
5, 5000, 2301.547678815, 2300.947, 99.97390109, 80597018921, 92.631152, 0.21